x,y,w,h,text,conf
179.0,198.0,122.0,26.0,Defence,92.0
314.0,199.0,112.0,25.0,Science,91.0
438.0,198.0,116.0,31.0,"Journal,",92.0
566.0,198.0,58.0,27.0,Vol.,92.0
637.0,199.0,43.0,30.0,"66,",93.0
693.0,199.0,51.0,26.0,No.,92.0
758.0,199.0,24.0,31.0,"2,",93.0
795.0,198.0,96.0,26.0,March,92.0
903.0,199.0,80.0,31.0,"2016,",93.0
995.0,199.0,179.0,33.0,"pp.122-129,",90.0
1186.0,199.0,65.0,25.0,DOI,87.0
1264.0,206.0,5.0,19.0,:,91.0
1284.0,198.0,321.0,34.0,10.14429/dsj.66.8972,81.0
179.0,241.0,26.0,27.0,©,93.0
218.0,242.0,80.0,30.0,"2016,",93.0
311.0,242.0,160.0,25.0,DESIDOC,91.0
591.0,480.0,307.0,53.0,Multi-object,89.0
917.0,480.0,209.0,54.0,tracking,90.0
1147.0,480.0,46.0,41.0,in,93.0
1213.0,480.0,151.0,42.0,aerial,92.0
1386.0,483.0,151.0,51.0,Image,92.0
1561.0,482.0,249.0,52.0,Sequences,90.0
1832.0,480.0,126.0,54.0,using,90.0
674.0,540.0,140.0,42.0,aerial,92.0
833.0,540.0,207.0,54.0,tracking,91.0
1061.0,540.0,202.0,54.0,learning,89.0
1285.0,540.0,91.0,42.0,and,89.0
1397.0,540.0,221.0,42.0,detection,90.0
1637.0,540.0,240.0,54.0,algorithm,92.0
610.0,651.0,164.0,46.0,Vindhya,91.0
789.0,653.0,26.0,34.0,P.,91.0
830.0,647.0,164.0,50.0,"Malagi’,",16.0
1011.0,651.0,159.0,36.0,Ramesh,89.0
1184.0,651.0,104.0,36.0,Babu,91.0
1302.0,653.0,103.0,40.0,"D.R.,",78.0
1422.0,651.0,70.0,36.0,and,91.0
1506.0,651.0,182.0,36.0,Krishnan,92.0
1715.0,653.0,225.0,44.0,Rangarajan,91.0
274.0,720.0,164.0,37.0,Computer,91.0
450.0,720.0,125.0,29.0,Science,91.0
588.0,719.0,61.0,29.0,and,91.0
659.0,720.0,205.0,37.0,Engineering,91.0
875.0,721.0,207.0,36.0,"Department,",90.0
1095.0,719.0,193.0,38.0,Dayananda,90.0
1301.0,720.0,99.0,37.0,Sagar,90.0
1413.0,719.0,126.0,38.0,College,90.0
1551.0,719.0,36.0,38.0,of,91.0
1592.0,720.0,214.0,37.0,"Engineering,",91.0
1820.0,719.0,174.0,38.0,Bengaluru,91.0
2007.0,737.0,11.0,3.0,-,96.0
2030.0,720.0,62.0,29.0,560,96.0
2104.0,720.0,69.0,34.0,"078,",93.0
2186.0,719.0,86.0,29.0,India,93.0
1003.0,763.0,133.0,33.0,'E-mail:,17.0
